########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	1	10	-	-56.320	1.893	1.934	1.483	0.664	0.218	35.488	27.611	0.493	0.320	5.539	4.395	5.401	4.080	0.123	0.146	908.829	63.357	-6.062	1.840	-91.693	16.405	-123.500	12.530	-31.931	4.566	1
2	10	5	-	-53.327	3.039	6.594	0.276	0.314	0.035	119.251	5.349	0.123	0.012	18.504	0.954	29.028	0.242	50.389	13.802	973.258	39.810	-4.843	0.449	-122.163	8.623	-100.864	14.451	-29.090	2.080	2
3	4	10	-	-47.516	2.860	2.020	0.354	0.314	0.088	37.057	7.670	0.246	0.064	5.165	1.007	6.028	1.095	16.321	16.063	740.461	85.394	-4.563	2.319	-93.441	9.687	-103.016	22.296	-25.897	3.087	3
4	3	10	-	-46.905	2.539	5.717	0.811	0.221	0.012	104.321	13.676	0.099	0.004	16.025	2.269	21.613	7.486	24.155	22.747	828.569	88.171	-3.884	0.876	-120.202	7.411	-117.444	16.843	-21.396	1.896	4
5	7	6	-	-45.038	4.566	3.658	0.476	0.336	0.031	61.332	5.169	0.168	0.022	10.662	1.537	9.101	0.663	0.854	1.430	718.121	42.503	-4.174	1.807	-67.165	8.450	-93.828	8.437	-27.516	3.339	5
6	8	6	-	-43.478	4.905	6.191	0.121	0.093	0.012	106.171	1.629	0.052	0.004	16.878	0.342	16.242	0.322	36.298	0.789	980.959	67.235	-5.510	2.068	-60.681	14.926	-53.844	16.505	-29.461	5.274	6
7	6	9	-	-41.189	1.445	77.537	5.074	0.000	0.000	122.389	4.088	0.002	0.000	199.780	12.304	55.512	3.212	8.140	13.362	784.868	50.491	-6.980	2.797	-33.394	6.964	-53.598	19.127	-28.344	1.673	7
8	11	4	-	-38.017	6.911	86.020	0.423	0.000	0.000	130.311	0.632	0.002	0.000	221.147	0.623	60.898	0.279	9.317	15.924	768.743	34.893	-3.652	1.472	-46.775	20.593	-63.399	32.756	-25.941	3.751	8
9	5	10	-	-37.444	1.209	5.898	1.133	0.100	0.014	111.987	34.572	0.060	0.017	15.537	3.470	24.071	8.562	46.515	9.531	706.550	30.331	-8.607	1.308	-52.828	2.093	-29.235	9.530	-22.923	1.503	9
10	9	5	-	-37.266	3.640	2.509	0.381	0.343	0.073	47.249	8.753	0.216	0.041	6.771	1.208	7.373	1.243	33.519	22.927	722.567	101.920	-6.261	2.522	-73.586	27.194	-59.708	43.738	-19.640	5.025	10
11	12	4	-	-33.318	3.477	38.805	0.256	0.000	0.000	79.578	2.208	0.004	0.000	100.548	1.119	33.951	0.128	1.369	1.135	617.883	36.850	-2.200	1.638	-60.752	12.095	-78.487	12.995	-19.104	1.605	11
12	2	10	-	-32.298	1.306	73.916	20.769	0.000	0.000	121.123	31.544	0.002	0.002	190.940	53.850	53.398	12.165	29.149	16.906	657.222	47.159	-6.589	0.891	-34.388	10.005	-26.985	16.594	-21.746	2.035	12
